Automotive interior parts,汽车内饰件
Auto Finance,汽车金融
Wind power plant development and construction,风电厂开发及建设
New Energy Vehicles,新能源汽车
Power Equipment,电力设备
Car maintenance and repair,汽车保养维修
Energy Management System,能量管理系统
fastener,紧固件
trading,贸易
Intelligent transportation equipment,智能交通设备
Power Generation Machinery,发电机械
Metal smelting and processing,金属冶炼加工
nuclear power,核电
Equipment Installation,设备安装
Iron and Steel Metallurgy,钢铁冶金
Solar cell modules,太阳能电池组件
Glasses,眼镜
Motor,电机
Automobile,汽车整车
Wind power,风力发电
Automation control products,自动化控制产品
Charging station service,充电站服务
Coal-fired generators,燃煤发电机组
Satellite communication transmission equipment,卫星通信传输设备
Management Consulting,管理咨询
Temperature Sensor,温度传感器
Pigments,色料
Crystalline silicon material,晶硅材料
Thermal imaging camera,红外热像仪
Satellite navigation application system,卫星导航应用系统
Photovoltaic modules,光伏组件
Power Station,电站
Industrial gas processing equipment,工业气体处理设备
Warehousing and distribution,仓储配送
Metal Crafts,金属工艺品
Engine parts,发动机零部件
Rim,轮辋
Body accessories,车身附件
Financial leasing,融资租赁
Commercial trade services,商业贸易服务
Charging and swapping stations,充换电站
Power transmission equipment,电力输送设备
Brokerage Agent,经纪代理
Steel,钢材
Wind power operation,风电运营
Power battery system,动力电池系统
Integrated control system,集成控制系统
oil,石油
Information business,资讯类业务
Power System,电源系统
Motor oil,汽车机油
Mechanical Equipment,机械设备
Inorganic Fiber,无机纤维
Truck,载货汽车
Testing machine,试验机
Monitoring unit,监控单元
Pumped Storage,抽水蓄能
lubricating oil,润滑油
Car Repair,汽车维修
Photovoltaic power station operation,光伏电站运营
New energy logistics vehicle,新能源物流车
Lithium-ion battery,锂离子电池
Construction Machinery,工程机械
Energy storage machine,储能机
Warehousing Services,仓储服务
Decoration,装修装饰
Video surveillance equipment,视频监控设备
Photovoltaic panels,光伏组件